g0a,g0b,g1a,g1b,h0a,h0b,h1a,h1b,param
0.0001775914119,-0.0003029865587,0.0003029865587,0.0001775914119,-0.0003029865587,0.0001775914119,0.0001775914119,0.0003029865587,32
2.39E-06,4.08E-06,4.08E-06,-2.39E-06,4.08E-06,2.39E-06,-2.39E-06,4.08E-06,0.3333333333
-0.0001206043671,0.0001710546971,-0.0001710546971,-0.0001206043671,0.0001710546971,-0.0001206043671,-0.0001206043671,-0.0001710546971,1
0.0003213617858,0.0005487392554,0.0005487392554,-0.0003213617858,0.0005487392554,0.0003213617858,-0.0003213617858,0.0005487392554,1
0.0002334200002,-0.0002046317798,0.0002046317798,0.0002334200002,-0.0002046317798,0.0002334200002,0.0002334200002,0.0002046317798,1
-0.001294017965,-0.002147195992,-0.002147195992,0.001294017965,-0.002147195992,-0.001294017965,0.001294017965,-0.002147195992,
-0.002110067325,0.0005109599524,-0.0005109599524,-0.002110067325,0.0005109599524,-0.002110067325,-0.002110067325,-0.0005109599524,
0.005425730245,0.008735659961,0.008735659961,-0.005425730245,0.008735659961,0.005425730245,-0.005425730245,0.008735659961,
0.006372839275,-0.004566750428,0.004566750428,0.006372839275,-0.004566750428,0.006372839275,0.006372839275,0.004566750428,
-0.01902371744,-0.02490823039,-0.02490823039,0.01902371744,-0.02490823039,-0.01902371744,0.01902371744,-0.02490823039,
-0.01081758277,0.02196928876,-0.02196928876,-0.01081758277,0.02196928876,-0.01081758277,-0.01081758277,-0.02196928876,
0.05362119717,0.05439655434,0.05439655434,-0.05362119717,0.05439655434,0.05362119717,-0.05362119717,0.05439655434,
0.006103726726,-0.0753113727,0.0753113727,0.006103726726,-0.0753113727,0.006103726726,0.006103726726,0.0753113727,
-0.1365249372,-0.1103073011,-0.1103073011,0.1365249372,-0.1103073011,-0.1365249372,0.1365249372,-0.1103073011,
0.04199437595,0.2964441911,-0.2964441911,0.04199437595,0.2964441911,0.04199437595,0.04199437595,-0.2964441911,
0.5658967132,0.7389230769,0.7389230769,-0.5658967132,0.7389230769,0.5658967132,-0.5658967132,0.7389230769,
0.7389230769,0.5658967132,-0.5658967132,0.7389230769,0.5658967132,0.7389230769,0.7389230769,-0.5658967132,
0.2964441911,0.04199437595,0.04199437595,-0.2964441911,0.04199437595,0.2964441911,-0.2964441911,0.04199437595,
-0.1103073011,-0.1365249372,0.1365249372,-0.1103073011,-0.1365249372,-0.1103073011,-0.1103073011,0.1365249372,
-0.0753113727,0.006103726726,0.006103726726,0.0753113727,0.006103726726,-0.0753113727,0.0753113727,0.006103726726,
0.05439655434,0.05362119717,-0.05362119717,0.05439655434,0.05362119717,0.05439655434,0.05439655434,-0.05362119717,
0.02196928876,-0.01081758277,-0.01081758277,-0.02196928876,-0.01081758277,0.02196928876,-0.02196928876,-0.01081758277,
-0.02490823039,-0.01902371744,0.01902371744,-0.02490823039,-0.01902371744,-0.02490823039,-0.02490823039,0.01902371744,
-0.004566750428,0.006372839275,0.006372839275,0.004566750428,0.006372839275,-0.004566750428,0.004566750428,0.006372839275,
0.008735659961,0.005425730245,-0.005425730245,0.008735659961,0.005425730245,0.008735659961,0.008735659961,-0.005425730245,
0.0005109599524,-0.002110067325,-0.002110067325,-0.0005109599524,-0.002110067325,0.0005109599524,-0.0005109599524,-0.002110067325,
-0.002147195992,-0.001294017965,0.001294017965,-0.002147195992,-0.001294017965,-0.002147195992,-0.002147195992,0.001294017965,
-0.0002046317798,0.0002334200002,0.0002334200002,0.0002046317798,0.0002334200002,-0.0002046317798,0.0002046317798,0.0002334200002,
0.0005487392554,0.0003213617858,-0.0003213617858,0.0005487392554,0.0003213617858,0.0005487392554,0.0005487392554,-0.0003213617858,
0.0001710546971,-0.0001206043671,-0.0001206043671,-0.0001710546971,-0.0001206043671,0.0001710546971,-0.0001710546971,-0.0001206043671,
4.08E-06,2.39E-06,-2.39E-06,4.08E-06,2.39E-06,4.08E-06,4.08E-06,-2.39E-06,
-0.0003029865587,0.0001775914119,0.0001775914119,0.0003029865587,0.0001775914119,-0.0003029865587,0.0003029865587,0.0001775914119,